row_id,brand,model,capacity_gb,offer_type,term_months,competitor,competitor_price_value,difference_pct_signed_vs_santander,status,confidence,competitor_source_url,evidence
1,Apple,Apple MacBook Air 13 M4,512,cash,,Amazon,24.99,-98.15,WRONG_PRODUCT_ACCESSORY,high,https://www.amazon.es/dp/B0F1T5BYFY,"ASIN apunta a accesorio, no al dispositivo | sin marcador expl?cito de segunda mano en t?tulo | title=360° Privacy Filter for MacBook Air 13.6 inch M4 2025 / M3 2024 / M2 2022, Anti-Spy Filter Screen Protection Privacy Screen for Mac Laptop Model - A3240 : Amazon.es: Computers"
2,Apple,Apple iPhone 16e,512,financing_max_term,24,Movistar,12.0,-74.88,OK,high,https://www.movistar.es/moviles/apple-iphone-16e-512gb-negro/,cuota_pagina=12.0 coincide con csv
3,Samsung,Samsung Galaxy S26,256,financing_max_term,24,Movistar,14.0,-68.06,OK,high,https://www.movistar.es/moviles/samsung-galaxy-s26-256gb-violeta/,cuota_pagina=14.0 coincide con csv
4,Samsung,Samsung Galaxy S25,256,financing_max_term,24,Movistar,12.0,-65.76,PRICE_MISMATCH_LIVE,high,https://www.movistar.es/moviles/samsung-galaxy-s25-256gb-azulmarino/,precio_csv=12.0 vs cuota_pagina=11.5 | plazo_csv=24 vs plazo_pagina=48
5,Apple,Apple Mac Studio M4 Max,512,cash,,Amazon,3803.52,63.31,MODEL_GENERATION_MISMATCH,high,https://www.amazon.es/dp/B0CGVD51VH,faltan tokens de generaci?n en t?tulo: ['m4'] | sin marcador expl?cito de segunda mano en t?tulo | title=Hard Drives Brand Apple Model Apple Mac Studio 27 M2 MAX Chip with 12Core CPU + 30Core GPU 32GB 512SSD : Amazon.es: Computers
6,Apple,Apple iPhone Air,256,financing_max_term,24,Movistar,20.0,-62.6,OK,high,https://www.movistar.es/moviles/apple-iphone-air-256gb-azulcielo/,cuota_pagina=20.0 coincide con csv
7,Apple,Apple iPhone Air,512,financing_max_term,24,Movistar,26.0,-59.66,OK,high,https://www.movistar.es/moviles/apple-iphone-air-512gb-negroespacial/,cuota_pagina=26.0 coincide con csv
8,Apple,Apple MacBook Air 13 M4,512,cash,,Media Markt,548.0,-59.38,UNVERIFIED_BLOCKED_CAPTCHA,medium,https://www.mediamarkt.es/es/product/_apple-macbook-air-2025-136-retina-chip-m4-apple-cpu-de-10-nucleos-gpu-de-8-nucleos-16-gb-ram-512gb-de-ssd-medianoche-1596183.html,MediaMarkt bloquea con CAPTCHA/403; no verificable precio/modalidad en vivo
9,Samsung,Samsung Galaxy Tab S10 FE Wi-Fi,128,cash,,Samsung Oficial,709.0,57.91,GENERIC_BUY_PAGE_VARIANT_UNCLEAR,medium,https://www.samsung.com/es/tablets/galaxy-tab-s10-fe/buy/,p?gina de compra con selector de variantes; comparabilidad depende de selecci?n exacta | precio_csv aparece en texto extra?do
10,Apple,Apple iPhone Air,1024,financing_max_term,24,Movistar,32.0,-57.57,OK,high,https://www.movistar.es/moviles/apple-iphone-air-1024gb-azulcielo/,cuota_pagina=32.0 coincide con csv
11,Apple,Apple MacBook Air 15 M4,512,cash,,Media Markt,701.0,-57.49,UNVERIFIED_BLOCKED_CAPTCHA,medium,https://www.mediamarkt.es/es/product/_apple-macbook-air-2025-153-retina-chip-m4-apple-cpu-de-10-nucleos-gpu-de-10-nucleos-16-gb-ram-512gb-de-ssd-medianoche-1596191.html,MediaMarkt bloquea con CAPTCHA/403; no verificable precio/modalidad en vivo
12,Apple,Apple iPhone 17,256,financing_max_term,24,Movistar,18.0,-57.21,OK,high,https://www.movistar.es/moviles/apple-iphone-17-256gb-negro/,cuota_pagina=18.0 coincide con csv
13,Apple,Apple iPhone 17,512,financing_max_term,24,Movistar,23.5,-55.69,OK,high,https://www.movistar.es/moviles/apple-iphone-17-512gb-azulneblina/,cuota_pagina=23.5 coincide con csv
