brand,model,capacity_gb,offer_type,term_months,santander_price_value,competitor,competitor_price_value,difference_pct_signed_vs_santander,difference_pct_abs_vs_santander,santander_extracted_at,competitor_extracted_at,santander_source_url,competitor_source_url,santander_link_excel,competitor_link_excel,review_status,review_notes
Apple,Apple MacBook Air 13 M4,512,cash,,1349.0,Amazon,24.99,-98.15,98.15,2026-02-24T08:35:29.783054+00:00,2026-02-23T16:02:46.485196+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Air-13%22-M4/p/MW0X3Y_A?previousPriceSelected=renting,https://www.amazon.es/dp/B0F1T5BYFY,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Air-13%22-M4/p/MW0X3Y_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.amazon.es/dp/B0F1T5BYFY"",""Abrir Competidor"")",,
Apple,Apple iPhone 16e,512,financing_max_term,24,47.78,Movistar,12.0,-74.88,74.88,2026-02-24T08:36:22.724257+00:00,2026-02-23T15:41:34.697101+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-16e/p/MD1X4QL_A?previousPriceSelected=renting,https://www.movistar.es/moviles/apple-iphone-16e-512gb-negro/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-16e/p/MD1X4QL_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.movistar.es/moviles/apple-iphone-16e-512gb-negro/"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy S26,256,financing_max_term,24,43.83,Movistar,14.0,-68.06,68.06,2026-02-27T10:12:58.025451+00:00,2026-02-27T12:33:02.519577+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S26/p/SM-S942BZKGEUB?previousPriceSelected=renting,https://www.movistar.es/moviles/samsung-galaxy-s26-256gb-violeta/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S26/p/SM-S942BZKGEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.movistar.es/moviles/samsung-galaxy-s26-256gb-violeta/"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy S25,256,financing_max_term,24,35.05,Movistar,12.0,-65.76,65.76,2026-02-25T15:47:29.605674+00:00,2026-02-25T16:32:44.661488+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25/p/SM-S931BZSGEUB?previousPriceSelected=renting,https://www.movistar.es/moviles/samsung-galaxy-s25-256gb-azulmarino/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25/p/SM-S931BZSGEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.movistar.es/moviles/samsung-galaxy-s25-256gb-azulmarino/"",""Abrir Competidor"")",,
Apple,Apple Mac Studio M4 Max,512,cash,,2329.0,Amazon,3803.52,63.31,63.31,2026-02-24T08:36:32.295954+00:00,2026-02-23T16:12:08.790060+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/Mac-Studio-M4/p/MU963YP_A?previousPriceSelected=renting,https://www.amazon.es/dp/B0CGVD51VH,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/Mac-Studio-M4/p/MU963YP_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.amazon.es/dp/B0CGVD51VH"",""Abrir Competidor"")",,
Apple,Apple iPhone Air,256,financing_max_term,24,53.48,Movistar,20.0,-62.6,62.6,2026-02-24T08:36:05.969240+00:00,2026-02-27T08:44:17.847272+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2L4QL_A?previousPriceSelected=renting,https://www.movistar.es/moviles/apple-iphone-air-256gb-azulcielo/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2L4QL_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.movistar.es/moviles/apple-iphone-air-256gb-azulcielo/"",""Abrir Competidor"")",,
Apple,Apple iPhone Air,512,financing_max_term,24,64.45,Movistar,26.0,-59.66,59.66,2026-02-24T08:36:05.850113+00:00,2026-02-27T08:44:35.485577+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A?previousPriceSelected=renting,https://www.movistar.es/moviles/apple-iphone-air-512gb-negroespacial/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.movistar.es/moviles/apple-iphone-air-512gb-negroespacial/"",""Abrir Competidor"")",,
Apple,Apple MacBook Air 13 M4,512,cash,,1349.0,Media Markt,548.0,-59.38,59.38,2026-02-24T08:35:29.783054+00:00,2026-02-23T14:04:22.648439+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Air-13%22-M4/p/MW0X3Y_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_apple-macbook-air-2025-136-retina-chip-m4-apple-cpu-de-10-nucleos-gpu-de-8-nucleos-16-gb-ram-512gb-de-ssd-medianoche-1596183.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Air-13%22-M4/p/MW0X3Y_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_apple-macbook-air-2025-136-retina-chip-m4-apple-cpu-de-10-nucleos-gpu-de-8-nucleos-16-gb-ram-512gb-de-ssd-medianoche-1596183.html"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy Tab S10 FE Wi-Fi,128,cash,,449.0,Samsung Oficial,709.0,57.91,57.91,2026-02-25T15:47:33.289263+00:00,2026-02-25T16:38:23.810461+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/Tablets/Galaxy-Tab-S10-FE-Wi-Fi-128GB-Gris/p/SM-X520NZAREUB?previousPriceSelected=renting,https://www.samsung.com/es/tablets/galaxy-tab-s10-fe/buy/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/Tablets/Galaxy-Tab-S10-FE-Wi-Fi-128GB-Gris/p/SM-X520NZAREUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.samsung.com/es/tablets/galaxy-tab-s10-fe/buy/"",""Abrir Competidor"")",,
Apple,Apple iPhone Air,1024,financing_max_term,24,75.41,Movistar,32.0,-57.57,57.57,2026-02-24T08:36:06.815463+00:00,2026-02-27T08:44:58.238594+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A?previousPriceSelected=renting,https://www.movistar.es/moviles/apple-iphone-air-1024gb-azulcielo/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.movistar.es/moviles/apple-iphone-air-1024gb-azulcielo/"",""Abrir Competidor"")",,
