country,retailer,retailer_slug,product_family,brand,device_type,model,capacity_gb,product_code,offer_type,price_value,total_cost,price_text,price_unit,term_months,in_stock,data_quality_tier,extracted_at,source_url,source_title,source_snapshot,source_snapshots
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,renting_no_insurance,33.99,1223.64,33.99 EUR,EUR/month,36,True,santander_api_live,2026-04-09T09:27:16.625965+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,renting_with_insurance,37.99,1367.64,37.99 EUR,EUR/month,36,True,santander_api_live,2026-04-09T09:27:16.625965+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,49.87,1496.1,49.87 EUR,EUR/month,30,True,santander_api_live,2026-04-09T09:27:16.625965+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,57.87,1388.88,57.87 EUR,EUR/month,24,True,santander_api_live,2026-04-09T09:27:16.625965+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,75.03,1350.54,75.03 EUR,EUR/month,18,True,santander_api_live,2026-04-09T09:27:16.625965+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,109.92,1319.04,109.92 EUR,EUR/month,12,True,santander_api_live,2026-04-09T09:27:16.625965+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,219.83,1318.98,219.83 EUR,EUR/month,6,True,santander_api_live,2026-04-09T09:27:16.625965+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,439.67,1319.01,439.67 EUR,EUR/month,3,True,santander_api_live,2026-04-09T09:27:16.625965+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,cash,1319.0,1319.0,1319.00 EUR,EUR,,True,santander_api_live,2026-04-09T09:27:16.625965+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,renting_no_insurance,45.99,1655.64,45.99 EUR,EUR/month,36,True,santander_api_live,2026-04-09T09:27:17.203088+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,renting_with_insurance,50.99,1835.64,50.99 EUR,EUR/month,36,True,santander_api_live,2026-04-09T09:27:17.203088+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,financing_max_term,59.33,1779.9,59.33 EUR,EUR/month,30,True,santander_api_live,2026-04-09T09:27:17.203088+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,financing_max_term,68.83,1651.92,68.83 EUR,EUR/month,24,True,santander_api_live,2026-04-09T09:27:17.203088+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,financing_max_term,89.25,1606.5,89.25 EUR,EUR/month,18,True,santander_api_live,2026-04-09T09:27:17.203088+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,financing_max_term,130.75,1569.0,130.75 EUR,EUR/month,12,True,santander_api_live,2026-04-09T09:27:17.203088+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,financing_max_term,261.5,1569.0,261.50 EUR,EUR/month,6,True,santander_api_live,2026-04-09T09:27:17.203088+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,financing_max_term,523.0,1569.0,523.00 EUR,EUR/month,3,True,santander_api_live,2026-04-09T09:27:17.203088+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,cash,1569.0,1569.0,1569.00 EUR,EUR,,True,santander_api_live,2026-04-09T09:27:17.203088+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,1024,MG8P4QL_A,renting_no_insurance,53.99,1943.64,53.99 EUR,EUR/month,36,True,santander_api_live,2026-04-09T09:27:18.120912+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,1024,MG8P4QL_A,renting_with_insurance,58.99,2123.64,58.99 EUR,EUR/month,36,True,santander_api_live,2026-04-09T09:27:18.120912+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,1024,MG8P4QL_A,financing_max_term,68.78,2063.4,68.78 EUR,EUR/month,30,True,santander_api_live,2026-04-09T09:27:18.120912+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,1024,MG8P4QL_A,financing_max_term,79.8,1915.2,79.80 EUR,EUR/month,24,True,santander_api_live,2026-04-09T09:27:18.120912+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,1024,MG8P4QL_A,financing_max_term,103.47,1862.46,103.47 EUR,EUR/month,18,True,santander_api_live,2026-04-09T09:27:18.120912+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,1024,MG8P4QL_A,financing_max_term,151.58,1818.96,151.58 EUR,EUR/month,12,True,santander_api_live,2026-04-09T09:27:18.120912+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,1024,MG8P4QL_A,financing_max_term,303.17,1819.02,303.17 EUR,EUR/month,6,True,santander_api_live,2026-04-09T09:27:18.120912+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A,iPhone 17 Pro,,
