"country","retailer","retailer_slug","product_family","brand","device_type","model","capacity_gb","offer_type","price_value","price_text","price_unit","term_months","in_stock","data_quality_tier","extracted_at","source_url","source_title"
"ES","Media Markt","media_markt","Samsung","Samsung","mobile","Samsung Galaxy S26","256","cash","999.0","999,00 â‚¬","EUR","","True","mediamarkt_adapter_live","2026-02-27T10:31:31.188274+00:00","https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-blanco-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620264.html","Móvil | Samsung Galaxy S26, Blanco, 256 GB, 12 GB RAM , 6.3"" FHD+, Exynos 2600, 4300 mAh, Android 16 | MediaMarkt"
"ES","Media Markt","media_markt","Samsung","Samsung","mobile","Samsung Galaxy S26","256","financing_max_term","55.5","55,50 â‚¬/mes","EUR/month","18","True","mediamarkt_adapter_live","2026-02-27T10:31:31.188274+00:00","https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-blanco-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620264.html","Móvil | Samsung Galaxy S26, Blanco, 256 GB, 12 GB RAM , 6.3"" FHD+, Exynos 2600, 4300 mAh, Android 16 | MediaMarkt"
"ES","Media Markt","media_markt","Samsung","Samsung","mobile","Samsung Galaxy S26","256","financing_max_term","333.0","333.00 â‚¬/mes","EUR/month","3","True","mediamarkt_adapter_live","2026-02-27T10:31:31.188274+00:00","https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-blanco-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620264.html","Móvil | Samsung Galaxy S26, Blanco, 256 GB, 12 GB RAM , 6.3"" FHD+, Exynos 2600, 4300 mAh, Android 16 | MediaMarkt"
"ES","Media Markt","media_markt","Samsung","Samsung","mobile","Samsung Galaxy S26","256","financing_max_term","166.5","166.50 â‚¬/mes","EUR/month","6","True","mediamarkt_adapter_live","2026-02-27T10:31:31.188274+00:00","https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-blanco-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620264.html","Móvil | Samsung Galaxy S26, Blanco, 256 GB, 12 GB RAM , 6.3"" FHD+, Exynos 2600, 4300 mAh, Android 16 | MediaMarkt"
"ES","Media Markt","media_markt","Samsung","Samsung","mobile","Samsung Galaxy S26","256","financing_max_term","99.9","99.90 â‚¬/mes","EUR/month","10","True","mediamarkt_adapter_live","2026-02-27T10:31:31.188274+00:00","https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-blanco-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620264.html","Móvil | Samsung Galaxy S26, Blanco, 256 GB, 12 GB RAM , 6.3"" FHD+, Exynos 2600, 4300 mAh, Android 16 | MediaMarkt"
"ES","Media Markt","media_markt","Samsung","Samsung","mobile","Samsung Galaxy S26","256","financing_max_term","83.25","83.25 â‚¬/mes","EUR/month","12","True","mediamarkt_adapter_live","2026-02-27T10:31:31.188274+00:00","https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-blanco-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620264.html","Móvil | Samsung Galaxy S26, Blanco, 256 GB, 12 GB RAM , 6.3"" FHD+, Exynos 2600, 4300 mAh, Android 16 | MediaMarkt"
"ES","Media Markt","media_markt","Samsung","Samsung","mobile","Samsung Galaxy S26","256","financing_max_term","49.95","49.95 â‚¬/mes","EUR/month","20","True","mediamarkt_adapter_live","2026-02-27T10:31:31.188274+00:00","https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-blanco-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620264.html","Móvil | Samsung Galaxy S26, Blanco, 256 GB, 12 GB RAM , 6.3"" FHD+, Exynos 2600, 4300 mAh, Android 16 | MediaMarkt"
"ES","Media Markt","media_markt","Samsung","Samsung","mobile","Samsung Galaxy S26","256","financing_max_term","41.63","41.63 â‚¬/mes","EUR/month","24","True","mediamarkt_adapter_live","2026-02-27T10:31:31.188274+00:00","https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-blanco-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620264.html","Móvil | Samsung Galaxy S26, Blanco, 256 GB, 12 GB RAM , 6.3"" FHD+, Exynos 2600, 4300 mAh, Android 16 | MediaMarkt"
"ES","Media Markt","media_markt","Samsung","Samsung","mobile","Samsung Galaxy S26","256","financing_max_term","27.75","27.75 â‚¬/mes","EUR/month","36","True","mediamarkt_adapter_live","2026-02-27T10:31:31.188274+00:00","https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-blanco-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620264.html","Móvil | Samsung Galaxy S26, Blanco, 256 GB, 12 GB RAM , 6.3"" FHD+, Exynos 2600, 4300 mAh, Android 16 | MediaMarkt"
"ES","Media Markt","media_markt","Samsung","Samsung","mobile","Samsung Galaxy S26+ 5G","256","cash","1249.0","1249,00 â‚¬","EUR","","True","mediamarkt_adapter_live","2026-02-27T10:31:52.431108+00:00","https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-plus-violeta-256-gb-12-gb-ram-67-qhd-exynos-2600-4900-mah-android-16-1620271.html","Móvil | Samsung Galaxy S26+, Violeta, 256 GB, 12 GB RAM , 6.7"" QHD+, Exynos 2600, 4900 mAh, Android 16 | MediaMarkt"
